name,img_link,description,tags,ingredients,recipe,about
Blow Job,/media/k2/items/cache/d197c421d422f5cbf569ea13f09ef700_S.jpg,Le cocktail Blow Job : un célèbre shooter à boire sans les mains.,Liqueur / crème de café; Baileys,1 part de Kahlua; 1 part de Baileys; Chantilly / Crème fouettée,Insérer la liqueur de café Kahlua dans un verre à shot.; Étager le Baileys au dessus à l'aide d'une cuillère.; Surmonter d'un peu de chantilly.,"Le cocktail Blow Job est un célèbre shooter souvent proposé dans les bars de nuit. Il est quelques fois réalisé avec de l'Amaretto (liqueur d'amande) à la place du Kahlua, un peu plus rarement avec les 3 ingrédients : Kahlua + Baileys + Amaretto.; Le but du jeu avec les Blow Jobs est de prendre le verre avec la bouche puisque les mains sont interdites pour boire ce cocktail."
Shooter Orgasme,/media/k2/items/cache/621af29360685f88fae4c26f96ed9d8c_S.jpg,Le cocktail Orgasme en shooter : son nom plutôt accrocheur lui vaut un grand succès.,Liqueur / crème de menthe; Baileys,50% de liqueur de menthe verte; 50% de Baileys,"Verser la liqueur de menthe verte, puis verser doucement le Baileys le long d'une cuillère.","Il existe plusieurs recettes de shooter Orgasme (Orgasm à l'étranger), celle-ci à base de liqueur de menthe verte et baileys est simple et courante."
Baileys Irish Coffee,/media/k2/items/cache/0847d5211daa2cfcfde28d825aa07d5d_S.jpg,"Le Baileys Irish Coffee : le fameux café irlandais dans une version plus douce, idéal en digestif.",Direct au verre; Sirop de sucre; Baileys; Café,4 cl de Baileys; 10 cl de café chaud; 1 cl de sirop de sucre; Crème fouettée,"Faire un café chaud.; Verser directement dans le verre le Baileys, le sirop de sucre puis le café chaud.; Remuer à l'aide d'une cuillère à mélange.; Ajouter au dessus la crème fouettée.; Saupoudrer optionnellement de chocolat en poudre ou en copeaux.","Le cocktail Baileys Irish Coffee, aussi appelé ""Café irlandais au Baileys"", est une variante du célèbre Irish Coffee. Le Baileys remplace dans cette recette le whisky irlandais d'origine."
San Francisco,/media/k2/items/cache/93ba6c299f04f710c35672b0f157402a_S.jpg,"Le San Francisco : un cocktail doux et fruité aux airs de ""sunrise"".",Direct au verre; Jus d’orange; Sirop de grenadine; Vodka; Liqueur / crème de banane,"3,5 cl de vodka; 2,5 cl de liqueur de banane; 8 cl de jus d'orange; 1 cl de sirop de grenadine","Remplir à moitié le verre de glaçons.; Verser directement la vodka, la liqueur de banane et le jus d'orange.; Verser le sirop de grenadine qui va se déposer au fond du verre.; Décorer avec une tranche d'orange.","Le cocktail San Francisco pourrait faire partie de la famille des sunrises puisqu'il en a clairement des airs.; Doux, fruité, et coloré avec son dégradé, c'est l'une des recettes parfaites à siroter en plein été sur une terrasse de bord de mer."
Blue Mojito,/media/k2/items/cache/f3ad4a234535b69ec9bf916a25462992_S.jpg,Le cocktail Blue Mojito : la variante au Curaçao bleu du célèbre Mojito !,Direct au verre; Jus de citron; Eau gazeuse; Rhum; Sirop de sucre; Menthe fraîche; Curacao bleu,3 cl de rhum cubain; 3 cl de curaçao Bleu; 3 cl de jus de citron vert; 6 cl d'eau gazeuse; 7 à 10 feuilles de menthe fraîche; 3 ou 4 quartiers de citron vert; 1 cl de sirop de sucre,"Insérer dans un verre les feuilles de menthe, le sirop de sucre et le jus de citron vert.; Piler la menthe.; Insérer les quartiers de citron vert.; Remplir le verre de la glace pilée.; Insérer le rhum, le curaçao bleu, puis l'eau gazeuse.; Remuer à l'aide d'une cuillère à mélange.; Décorer avec un brin de menthe.","Le Blue Mojito est la variante bleue du célèbre mojito, dans lequel le curaçao vient non seulement apporter au cocktail une très belle couleur bleutée, mais vient en plus ajouter une délicate saveur d'orange."
Embuscade,/media/k2/items/cache/4695cb3b19cbf906e45dac0da0913068_S.jpg,L'embuscade : un cocktail d'origine caennaise à essayer lors d'une escapade en Normandie.,Direct au verre; Vin blanc; Bière; Calvados; Sirop de cassis; Sirop de citron,7 cl de vin blanc; 3 cl de Calvados; 2 cl de sirop de cassis; 1 cl de sirop de citron; 12 cl de bière,"Verser dans un verre à bière le sirop de cassis, le sirop de citron, le calvados et le vin blanc.; Compléter avec la bière.; Remuer légèrement à l'aide d'une cuillère à mélange.",Le cocktail Embuscade est originaire de la Basse Normandie et a été créé dans l'un des bars du centre historique de Caen. L'embuscade est un cocktail prisé des étudiants caennais.
Florida,/media/k2/items/cache/7a6fe08027b80ee08bda1ed60d73e334_S.jpg,Le cocktail Florida : une recette fruitée et rafraîchissante idéale en été.,Au shaker; Jus d’orange; Jus de citron; Angostura bitters; Sirop de sucre,11 cl de jus d'orange pressée; 6 cl de jus de citron pressé; 3 cl de sirop de sucre (optionnel); 3 traits d'Angostura bitters,"Frapper au shaker avec quelques glaçons le jus d'orange, le jus de citron, le sirop de sucre et l'Angostura.; Filtrer dans un verre rempli de glaçons.; Garnir avec une rondelle d'orange.","Le Florida Cocktail est une boisson dont l’origine exacte demeure floue, mais il semble avoir émergé au début du 20e siècle, à une époque où les cocktails fruités et sucrés gagnaient en popularité. L’utilisation d’agrumes dans les cocktails a toujours été un élément clé de la culture des boissons américaines, en particulier en Floride, un grand producteur de fruits comme les oranges et les pamplemousses.; Ce cocktail a probablement été conçu pour tirer parti de la richesse des récoltes d’agrumes de la région et pour offrir une boisson rafraîchissante adaptée aux chaudes journées d’été. La Floride, étant le centre névralgique de la production de fruits en Amérique, est également connue pour avoir inspiré de nombreuses recettes de cocktails qui célèbrent ses produits frais et sa proximité avec les tropiques."
Orange Blossom,/media/k2/items/cache/924e149af069b8ea323a809fbb1171d4_S.jpg,"Le cocktail Orange Blossom : une recette très simple signifiant ""Fleur d'oranger"" en français.",Cocktail classique; Au shaker; Jus d’orange; Gin,4 cl de gin; 4 cl de jus d'orange pressée,Frapper au shaker avec quelques glaçons le gin et le jus d'orange.; Filtrer dans un verre.; Garnir avec un zeste d'orange.,"Le Orange Blossom apparaît pour la première fois dans le célèbre livre The Old Waldorf-Astoria Bar Book de 1935, écrit par Albert Stevens Crockett. Il y est mentionné comme un cocktail simple et rafraîchissant, composé de gin, de jus d’orange frais et parfois d’un peu de vermouth ou de sirop selon les variantes."
Adios MotherFucker,/media/k2/items/cache/97a787f8d6fb66aaef15fa858aa433ea_S.jpg,Le cocktail Adios Motherfucker : une recette dérivée du Long Island Iced Tea.,Direct au verre; Jus de citron; Vodka; Gin; Limonade; Rhum; Curacao bleu; Tequila,"1,5 cl de tequila; 1,5 cl de rhum brun; 1,5 cl de gin; 1,5 cl de vodka; 1,5 cl de Curaçao Bleu; 1,5 cl de jus de citron pressé et filtré; 6 cl de limonade",Remplir un verre de glace.; Verser directement les ingrédients en finissant par la limonade.; Décorer avec une rondelle de citron.,"Le cocktail Adios Motherfucker (abrégé AMF) est une variante du célèbre Long island Iced Tea à la différence que le triple sec utilisé ici est du Caracao bleu et non pas du Cointreau, et que la limonade remplace le coca d'origine."
Blue lagoon,/media/k2/items/cache/c99e3db826c0f4cc2688a36ce3b60e1a_S.jpg,Le Blue Lagoon : la recette d'un cocktail bleu à base de vodka et curacao bleu.,Cocktail classique; Au shaker; Jus de citron; Vodka; Curacao bleu,4 cl de Vodka; 2 cl de Curaçao Bleu; 1 cl de jus de citron jaune pressé et filtré,"Frapper au shaker avec quelques glaçons la vodka, le curaçao bleu et le jus de citron.; Filtrer dans un verre à cocktail.; Canneler éventuellement un zeste de citron ou d'orange pour la décoration.","Le Blue lagoon (lagon bleu en français) est le cocktail à base de curaçao bleu le plus connu, sa teneur en alcool s'élève à 30°. Le Blue Lagoon aurait été créé vers 1960 au Harry's Bar à Paris par Andy Mac Elhone, le fils de Harry, créateur du Harry's New York Bar à Paris."
Mojito,/media/k2/items/cache/063ee9aeb9f60efa02823e51450f82ce_S.jpg,Mojito : la meilleure recette du cocktail préféré des français !,Direct au verre; Cocktail classique; Jus de citron; Eau gazeuse; Rhum; Sirop de sucre; Menthe fraîche,5 cl de rhum cubain; 3 cl de jus de citron vert; 7 à 10 feuilles de menthe verte fraîche; 3 ou 4 quartiers de citron vert; 2 cl de sirop de sucre; 5 cl d'eau gazeuse,"Directement dans un verre, insérer la menthe fraîche, le sirop de sucre et le jus de citron vert.; Piler la menthe à l'aide d'un pilon.; Insérer les quartiers de citron vert.; Remplir le verre de la glace pilée.; Verser le rhum puis l'eau gazeuse.; Remuer à l'aide d'une cuillère à mélange.; Décorer avec un brin de menthe fraîche.","L’histoire du Mojito commence au XVIe siècle, avec un breuvage appelé le “Draque”, en hommage au célèbre corsaire anglais Francis Drake. Selon la légende, Drake et son équipage auraient débarqué à Cuba après une expédition, et pour combattre le scorbut et la dysenterie, ils auraient préparé une mixture à base d’aguardiente (un rhum brut non vieilli), de sucre, de citron vert et de feuilles de menthe. Cette boisson rudimentaire aurait été utilisée pour ses vertus médicinales, bien avant de devenir un cocktail de plaisir."
Zombie,/media/k2/items/cache/3b77d3f73b59742412f393cd0d264b14_S.jpg,"Le cocktail Zombie : une recette ""tiki"" de Don the Beachcomber.",Cocktail classique; Au blender; Sirop de grenadine; Jus de citron; Rhum; Jus d’ananas; Liqueur d’abricot; Rhum ambre,2 cl de rhum blanc; 2 cl de rhum ambré; 2 cl de Apricot Brandy; 2 cl de jus de citron vert pressé et filtré; 5 cl de jus d'ananas; 1 cl de sirop de grenadine,"Passer au blender avec des glaçons tous les ingrédients.; Verser dans un verre.; Décorer avec un quartier d'ananas et d'orange, une cerise et un brin de menthe.","Le Zombie a été créé en 1934 par Ernest Raymond Beaumont Gantt, plus connu sous le nom de Donn Beach, un pionnier de la culture tiki et fondateur du célèbre Don the Beachcomber, un bar exotique situé à Los Angeles."
Piña Colada,/media/k2/items/cache/63503204d18160dd6a733e989b70c404_S.jpg,"La Piña Colada : un savoureux cocktail classique au rhum, crème de coco et jus d'ananas",Cocktail classique; Au blender; Rhum; Jus d’ananas; Crème et lait de coco,4 cl de rhum blanc; 4 cl de crème de coco; 7 cl de jus d'ananas,"Passer au blender tous les ingrédients avec de la glace : rhum, crème de coco et jus d'ananas.; Verser dans un verre.; Ajouter un quartier d'ananas et une cerise à l'eau-de-vie en décoration.","La Piña Colada, ce délicieux mélange de rhum, d’ananas et de crème de coco, est l’un des cocktails tropicaux les plus emblématiques au monde. Symbole de farniente sous les palmiers, ce cocktail sucré et rafraîchissant évoque immédiatement les plages de sable fin et les brises marines des Caraïbes. Mais derrière son goût exotique se cache une histoire fascinante qui fait l’objet d’une controverse entre plusieurs prétendants, tous originaires de Porto Rico, l’île qui revendique fièrement ce cocktail comme sa boisson nationale."
